16:07:46.896 | INFO | 01: | 23488:ExpressionDBWebAPI | Start WebAPI | Program | Void <Main>$(String[]) | 40 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 5559608 B
16:10:19.118 | FATL | 07:.NET TP Worker | 23488:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 10568024 B
16:10:19.119 | INFO | 07:.NET TP Worker | 23488:ExpressionDBWebAPI | SQL:SELECT FROM  VW_ログイン情報  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 10576248 B
16:10:19.119 | FATL | 19:.NET TP Worker | 23488:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 10576248 B
16:10:19.120 | INFO | 19:.NET TP Worker | 23488:ExpressionDBWebAPI | SQL:SELECT FROM  VW_DEFINE_DEVICE_GROUP  WITH (NOLOCK) ORDER BY  [SORT_ORDER]  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 10584472 B
16:10:19.125 | FATL | 07:.NET TP Worker | 23488:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 10678632 B
16:10:19.127 | FATL | 03:.NET TP Worker | 23488:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 10678632 B
16:10:19.127 | INFO | 03:.NET TP Worker | 23488:Exp16:56:41.306 | INFO | 01: | 24556:ExpressionDBWebAPI | Start WebAPI | Program | Void <Main>$(String[]) | 40 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 5497600 B
16:58:04.497 | WARN | 05:.NET TP Worker | 24556:ExpressionDBWebAPI | Failed to determine the https port for redirect. | Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware |  |  L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 8351376 B
16:58:04.722 | INFO | 05:.NET TP Worker | 24556:ExpressionDBWebAPI | {"viewName":"VW_ログイン情報","className":"","columnsDefineName":"","componentName":"","selectTopCnt":0,"selectParam":[],"whereParam":{},"orderByParam":[],"tableFuncFlg":false,"GetHintStr":"","modelTypeName":"","GetModelType":"System.Object","CommandTimeout":30,"tsqlHints":"NONE","$type":"ClassNameSelect"} | ExpressionDBWebAPI.Controllers.CommonController | ActionResult<IEnumerable<ResponseValue>> Post(ClassNameSelect, CancellationToken) | 31 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 9047800 B
16:58:19.929 | FATL | 05:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 9749248 B
16:58:19.929 | FATL | 07:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 9749248 B
16:58:19.929 | FATL | 18:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 9749248 B
16:58:19.930 | INFO | 05:.NET TP Worker | 24556:ExpressionDBWebAPI | SQL:SELECT FROM  VW_ログイン情報  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 9773896 B
16:58:19.931 | INFO | 07:.NET TP Worker | 24556:ExpressionDBWebAPI | SQL:SELECT FROM  VW_DEFINE_DEVICE_GROUP  WITH (NOLOCK) ORDER BY  [SORT_ORDER]  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 9782120 B
16:58:19.931 | INFO | 18:.NET TP Worker | 24556:ExpressionDBWebAPI | SQL:SELECT FROM  VW_DEFINE_DEVICE_GROUP  WITH (NOLOCK) ORDER BY  [SORT_ORDER]  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 9782120 B
16:58:19.933 | FATL | 05:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 9855800 B
16:58:19.942 | FATL | 07:.NET TP Worker | 24556:ExpressionDBWebAPI | Exception has been thrown by the target of an invocation. | ExpressionDBWebAPI.Controllers.CommonGenericController | ActionResult<IEnumerable<AbstractViewModelBase>> Post(ClassNameSelect, CancellationToken) | 35 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 9995096 B
16:58:19.943 | FATL | 18:.NET TP Worker | 24556:ExpressionDBWebAPI | Exception has been thrown by the target of an invocation. | ExpressionDBWebAPI.Controllers.CommonGenericController | ActionResult<IEnumerable<AbstractViewModelBase>> Post(ClassNameSelect, CancellationToken) | 35 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 10003320 B
16:58:20.042 | FATL | 18:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Controllers.LogController | IActionResult Post(LoggerRequestValue, CancellationToken) | 44 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 10459840 B
16:58:20.042 | FATL | 05:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Controllers.LogController | IActionResult Post(LoggerRequestValue, CancellationToken) | 44 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 10459840 B
17:05:34.168 | INFO | 26:.NET TP Worker | 24556:ExpressionDBWebAPI | {"viewName":"VW_ログイン情報","className":"","columnsDefineName":"","componentName":"","selectTopCnt":0,"selectParam":[],"whereParam":{},"orderByParam":[],"tableFuncFlg":false,"GetHintStr":"","modelTypeName":"","GetModelType":"System.Object","CommandTimeout":30,"tsqlHints":"NONE","$type":"ClassNameSelect"} | ExpressionDBWebAPI.Controllers.CommonController | ActionResult<IEnumerable<ResponseValue>> Post(ClassNameSelect, CancellationToken) | 31 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 10761864 B
17:05:48.860 | FATL | 26:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 11097528 B
17:05:48.860 | FATL | 07:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 11097528 B
17:05:48.860 | INFO | 26:.NET TP Worker | 24556:ExpressionDBWebAPI | SQL:SELECT FROM  VW_ログイン情報  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 11105752 B
17:05:48.860 | INFO | 07:.NET TP Worker | 24556:ExpressionDBWebAPI | SQL:SELECT FROM  VW_DEFINE_DEVICE_GROUP  WITH (NOLOCK) ORDER BY  [SORT_ORDER]  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 11105752 B
17:06:03.526 | FATL | 26:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 11382096 B
17:06:03.526 | FATL | 07:.NET TP Worker | 24556:ExpressionDBWebAPI | Exception has been thrown by the target of an invocation. | ExpressionDBWebAPI.Controllers.CommonGenericController | ActionResult<IEnumerable<AbstractViewModelBase>> Post(ClassNameSelect, CancellationToken) | 35 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 11382096 B
17:06:03.610 | FATL | 22:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Controllers.LogController | IActionResult Post(LoggerRequestValue, CancellationToken) | 44 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 11578040 B
17:06:51.491 | INFO | 29:.NET TP Worker | 24556:ExpressionDBWebAPI | {"viewName":"VW_ログイン情報","className":"","columnsDefineName":"","componentName":"","selectTopCnt":0,"selectParam":[],"whereParam":{},"orderByParam":[],"tableFuncFlg":false,"GetHintStr":"","modelTypeName":"","GetModelType":"System.Object","CommandTimeout":30,"tsqlHints":"NONE","$type":"ClassNameSelect"} | ExpressionDBWebAPI.Controllers.CommonController | ActionResult<IEnumerable<ResponseValue>> Post(ClassNameSelect, CancellationToken) | 31 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 11665160 B
17:07:06.166 | FATL | 29:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 12001112 B
17:07:06.166 | INFO | 29:.NET TP Worker | 24556:ExpressionDBWebAPI | SQL:SELECT FROM  VW_ログイン情報  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 12017304 B
17:07:06.166 | FATL | 31:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 12009336 B
17:07:06.167 | INFO | 31:.NET TP Worker | 24556:ExpressionDBWebAPI | SQL:SELECT FROM  VW_DEFINE_DEVICE_GROUP  WITH (NOLOCK) ORDER BY  [SORT_ORDER]  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 12025528 B
17:07:20.871 | FATL | 29:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 12433320 B
17:07:20.871 | FATL | 31:.NET TP Worker | 24556:ExpressionDBWebAPI | Exception has been thrown by the target of an invocation. | ExpressionDBWebAPI.Controllers.CommonGenericController | ActionResult<IEnumerable<AbstractViewModelBase>> Post(ClassNameSelect, CancellationToken) | 35 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 12446280 B
17:07:20.871 | FATL | 27:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 12454504 B
17:07:20.872 | INFO | 27:.NET TP Worker | 24556:ExpressionDBWebAPI | SQL:SELECT FROM  VW_DEFINE_DEVICE_GROUP  WITH (NOLOCK) ORDER BY  [SORT_ORDER]  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 12462728 B
17:07:20.875 | FATL | 27:.NET TP Worker | 24556:ExpressionDBWebAPI | Exception has been thrown by the target of an invocation. | ExpressionDBWebAPI.Controllers.CommonGenericController | ActionResult<IEnumerable<AbstractViewModelBase>> Post(ClassNameSelect, CancellationToken) | 35 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 12535136 B
17:07:20.998 | FATL | 29:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Controllers.LogController | IActionResult Post(LoggerRequestValue, CancellationToken) | 44 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 12674840 B
17:07:21.039 | FATL | 29:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Controllers.LogController | IActionResult Post(LoggerRequestValue, CancellationToken) | 44 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 12805912 B
17:10:14.272 | INFO | 35:.NET TP Worker | 24556:ExpressionDBWebAPI | {"viewName":"VW_ログイン情報","className":"","columnsDefineName":"","componentName":"","selectTopCnt":0,"selectParam":[],"whereParam":{},"orderByParam":[],"tableFuncFlg":false,"GetHintStr":"","modelTypeName":"","GetModelType":"System.Object","CommandTimeout":30,"tsqlHints":"NONE","$type":"ClassNameSelect"} | ExpressionDBWebAPI.Controllers.CommonController | ActionResult<IEnumerable<ResponseValue>> Post(ClassNameSelect, CancellationToken) | 31 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 12963480 B
17:10:28.971 | FATL | 35:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 13461696 B
17:10:28.971 | INFO | 35:.NET TP Worker | 24556:ExpressionDBWebAPI | SQL:SELECT FROM  VW_ログイン情報  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 13469920 B
17:10:28.971 | FATL | 37:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 13469920 B
17:10:28.971 | FATL | 33:.NET TP Worker | 24556:ExpressionDBWebAPI | A network-related or instance-specific error occurred while establishing a connection to SQL Server. The server was not found or was not accessible. Verify that the instance name is correct and that SQL Server is configured to allow remote connections. (provider: SQL Network Interfaces, error: 26 - Error Locating Server/Instance Specified) | ExpressionDBWebAPI.Common.SqlServerSource | List<ResponseValue> ExecuteQuery(String, List<IDbDataParameter>, Int32) | 193 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 13478144 B
17:10:28.971 | INFO | 37:.NET TP Worker | 24556:ExpressionDBWebAPI | SQL:SELECT FROM  VW_DEFINE_DEVICE_GROUP  WITH (NOLOCK) ORDER BY  [SORT_ORDER]  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 13478144 B
17:10:28.971 | INFO | 33:.NET TP Worker | 24556:ExpressionDBWebAPI | SQL:SELECT FROM  VW_DEFINE_DEVICE_GROUP  WITH (NOLOCK) ORDER BY  [SORT_ORDER]  | ExpressionDBWebAPI.Controllers.CommonController | ValueTuple<String, IDictionary<String, WhereParam>> GetSQLStringAndParam(ClassNameSelect) | 281 L | ExpressionDBWebAPI | 1.0.0.0 | TGH240401 | TACHIBANA\24018 | 13486368 B
